userName,content,score,at
Mur Idrus,sangat membantu banget terima kasih,5,2024-12-12 08:04:00
A'at Althaf Abdilah Putra,"😅😅😅 saya lupa sandi gaes,+ berganti hp. kok kek ribet. Ini muka dan ktp saya sendiri. Peak. Contoh lah bank propesional Seperti bri/bni/seabank/neobank. Yg mengikuti no ponsel fisik nya, dan verifikasi wajah.. Jagan hal hal gk penting Luh bahas.. untung ga pernh nabung di sini, kepala jadi puyeng. BLUE BCA PEAK",1,2024-12-12 06:34:38
Bagus Muhammad Gibral,"Dari sekian banyak bank digital, saya rasa Blu yg terbaik.",5,2024-12-12 04:28:44
Dadi Lukmanudin,Min Kalau ganti no hp akun Lama masih bisa Di pakai?,5,2024-12-12 02:33:35
Tina Septiani,great,5,2024-12-12 02:28:16
Halim Himawan,kenapa tiap screenshot bukti pembayaran aplikasi langsung berhenti/force close?,2,2024-12-12 01:39:59
Siti Saniah,"thanks ya... selalu da promo cashback setiap beli kopi kenangan... aaahh,,seneng bgt deehh... sering2 yaaa minsay 😁",5,2024-12-12 01:21:46
Bayu,memang mantap,5,2024-12-12 01:01:01
MAGNET REZEKI SUKSES,"Kecewa banget, mau minjem duit malah ditolak ke2xnya, Aplikasi ga berguna, ga ngebantu rakyat miskin sama sekali😒hati hati masuk neraka jahanam akibat memakan uang riba.",1,2024-12-12 00:34:40
Muhamad Mukromin,"Buat teman"" yg udah download blu BCA, please banget jangan sampe kalian lupa password. Kemarin aku mau login udah 2 x tiba2 akun langsung terblokir, dan untuk resetnya ribet banget! Pake vermuk toleh kanan kiri, nyobain nyampe 10x, wajah tidak mengenali anda dan coba lagi! Beda kaya bank sebelah, lupa password langsung diminta masukin nomor kartu debit/ kredit. Kepada pihak BLU BCA, aku tahu hal demikian demi keamanan aplikasi, namun tolong dipermudah lagi. Mohon segera ditindaklanjuti.",4,2024-12-12 00:33:46
Save Akun,biaya admin kemahalan,3,2024-12-11 23:12:36
andra ocdarian,kerenn🔥🔥,5,2024-12-11 18:42:03
Novinda Nur F,kebutuhan lebih terorganisir keuangannya berkat Blu,5,2024-12-11 17:35:10
sulistia zahra,blu tranfer ke beda bank 0- cuma lemot aja minesnya hehe,5,2024-12-11 12:49:44
Ridwan,"Secara ide, aplikasi ini bagus. Tapi bisakah platform yang digunakan diganti pakai Flutter aja biar aplikasinya berjalan lebih ringan dan cepat? Yang sekarang ini berasa pakai webview... Kan malu sama iklan 😄 Usahakan server yang digunakan jangan terlalu terbatas storagenya untuk supporting teknis.",1,2024-12-11 12:43:33
Suryati Suryati,transaksi jdi lebih Mudah,5,2024-12-11 11:34:24
Welly Susanti,Mantap,5,2024-12-11 10:48:29
FarHan Muhammad (Han),Sangat bermanfaat,5,2024-12-11 03:22:57
Aniiad d,"Bener2 parah mau login ke apps sendiri dulu ganti device hatus periv dan dipersulit gagal mulu verif Mukanya tlp cs jawabannya gitu2 aja gaada solusi, sekarang udah ga pakai blue dan ada salah transfer jadi harus login lg ke blue dan kendala nya masih sama DI VERIF muka bener2 dipersulit, sekelas mbca aja ga seribet ini loh. Udah memberi keluhan ke cs wa jg malah di lempar2 nanya solusi malah disuruh ke cs pas ke cs suruh ulang2 terus ini itu, udah saya lakuin semua DAN GABISA JUGA!!!!",1,2024-12-11 03:06:53
Fatkhur Rozaq,"Blue BCA mudah di gunakan, bisa membuat kantong2 budged shg pengeluaran terkontrol",5,2024-12-11 00:07:27
Anna Anna,cs nya sengaja menolak panggilan vidio saya. Ssh sekali buka rekening.,1,2024-12-10 14:11:14
Muhamad Ihsan Fauzi,"bagus aplikasinya, banyakin promo ya",5,2024-12-10 11:54:23
Ananta,kenapa sih mesti login ulang mulu dan itu terjadi berkali2 sumpah cape,1,2024-12-10 07:17:08
Asep Ramdani,"Sejauh ini aman² aja, suka sama fitur² dan warnanya yg khas, kekurangannya ada di pengoperasian aplikasi yg terbilang cukup berat di HP kentang, selebihnya aman dan nyaman",5,2024-12-10 06:19:06
Nanda Dwi Lestari,"sangat baik, harapannya semoga tidak ada admin bukan hanya dibatas 20kali",5,2024-12-10 05:46:19
Hanindya Hilmy Nurhidayat,Fiturnya oke dan yang terbaik adalah tidak ada admin bulanan.,5,2024-12-10 04:20:55
Keysha Revania,"prosesnya cepat, sejauh ini ga pernah kena admin 🫶🏻",5,2024-12-10 04:17:24
BRANDAL LOKA,Kenapa buat transfer gagal terus padahal ada saldo saya,3,2024-12-10 03:30:33
Riana Sihombing,"Sejauh ini saya sudah cukup puas dengan pelayanan serta fitur-fitur yang tersedia. Akan tetapi, semoga dibagian top up e wallet ke dana sebaiknya dibuat nama sipenenerima dana tersebut, agar lebih akurat . Terima kasih",4,2024-12-09 16:49:00
Rizky Marpaung,Rekening perbankan yang cocok banget untuk anak muda. Bisa membagi segmentasi saldo dalam berbagai pilihan. Blu debit card yang unik dan dapat dipakai domestik dan internasional. Bebas biaya bulanan dan bebas biaya pendaftaran.,5,2024-12-09 16:00:30
Fauziah,Bagus,5,2024-12-09 15:41:06
Bahaudin Alazka,"penggunaan enak, bisa atur kebutuhan dan simpan dana lgsg, walaupun sedikit lama koneksinya, tp lebih banyak kelebihannya, jos rekomen",5,2024-12-09 14:13:12
Santi Lena Delima,Aplikasnya dapat memanage uang supaya digunakan sebaik mungkin.,5,2024-12-09 13:36:47
Chatrine Purba,"blu sangat membantu, sangat praktis, mudah digunakan, banyak promo, pokoknya the best!",5,2024-12-09 12:44:38
21-058_Putri Mahardika Nasution,"blu sangat membantu dan user-friendly! Desainnya simpel, tapi fungsional. Sangat direkomendasikan",5,2024-12-09 12:00:19
seno widya,"Loginnya masih menggunakan no hp, tidak ada opsi WA dan masih tetap APK nya berat",3,2024-12-09 11:56:28
jeni VL,Aplikasi blu sangat baguss sekali banyak fitur-fitur yg update dan sangat memudahkan dalam mengatur keuangan. Bagi saya seorang mahasiswi dengan adanya fitur blu saving tempat menabung untuk pribadi dan blu gether untuk menabung bersama sangat efisien sekali dan mudah digunakan. Banyak hal positif yang diberikan oleh aplikasi blu. Semoga kedepannya bisa bertambah fitur-fitur yang menarik lagi bagi kami pengguna blu dan bagi mereka pengguna baru blu☺,5,2024-12-09 11:36:23
Khinan Variza,sejauh ini lumayan lah yaa,4,2024-12-09 11:08:57
21_014 Ficky Chairian,"sangat bagus sekali aplikasi nya, sangat memudahkan untuk bertransaksi di era digital ini.",5,2024-12-09 08:48:17
Novita Sari Situngkir,Sangat mudah digunakan,5,2024-12-09 08:42:47
Jovito Septian Wijaya,"aplikasinya keren banget, semua sangat terisistem dengan baik",5,2024-12-09 07:46:18
23-004 Maslanna Ridha Siregar,Keren banget aku suka banget sama setiap produk di aplikasi nya pokok best recommended lah yukkk gaiss,5,2024-12-09 06:41:35
Ginanjar Dwi Saputro,"mantap, terus tingkatkan lagi",5,2024-12-09 06:33:18
Naufal Nadhif,puas bgt,5,2024-12-09 04:09:03
Jessica Graciella Barus,Fiturnya sangat inovatif dan membantu untuk menyusun strategi keuangan yang lebih baik.,5,2024-12-09 02:53:32
Mariana Purba,Aplikasinya keren dan fiturnya bagus,5,2024-12-09 01:26:52
Nobel Carissa,sangat bermanfaat,5,2024-12-09 01:24:59
Salsabila Fatin,mantappp,5,2024-12-09 01:22:57
PRAYOGI WAWANG,mudah dan cepat,5,2024-12-09 00:44:50
cza,"terima kasih, sekarang sudh bisa kedetect di kamera saat verifikasi wajah😊👍🏼",5,2024-12-09 00:43:07
Yemima Simbolon,Sangat membantu dalam menata keuangan,5,2024-12-09 00:42:39
komang eka Putra,top untuk transaksi,5,2024-12-08 22:43:37
Hendra Kamajaya,Maaf saya masih belum bisa masuk ke akunnya yagimna,3,2024-12-08 15:34:40
Sendi Ardiansyah,Mantep banget,5,2024-12-08 13:36:10
Ika Nurasih,"Belum ada 10 detik buka, aplikasinya keluar2 sendiri... Mohon tingkatkan kualitas aplikasi supaya tidak emosi harus keluar masuk aplikasi.",1,2024-12-08 13:17:23
Elis Emi,transaksi mudah,5,2024-12-08 13:14:56
M RIZAL,Blu by bca digital sangat keren sih...,5,2024-12-08 11:53:50
Peter Cand,"Kelebihannya ada menggunakan jaringan BCA. Kekurangannya ada di aplikasinya, masih lemot dan kurang nyaman. Padahal suka karena jaringan BCA nya.",4,2024-12-08 11:28:00
RESEP MASAKAN TV,Hello admin kenapa akun saya gak bisa masuk tolong bantu saya,3,2024-12-08 09:35:28
Bagza Widiantoro,App lambat dan selalu crash keluar/logout sendiri,1,2024-12-08 06:03:52
Nafika Ekawati,mantap..bebas biaya parkir pokoknya 👍👍,5,2024-12-08 05:20:48
Hery Priadi,Ok,5,2024-12-08 05:11:27
WRG MASDI,"YG BENER AJA ,,, SEKELAS MBANKING,, -KOq NGETREX EWALET GA KELUAR NAMA PEMILIK AKUN NYA ??? RUGI DONK !!! -Redeemm paket Telkom Ribet bangett,,, Untuk kedepannya TOLONG DI PERBAIKI LAGI SYSTEM NYA .",5,2024-12-08 04:18:18
yohan das,SANGAT COCOK,5,2024-12-08 00:47:10
Shifa ShafaALAZHAR,ok,5,2024-12-07 22:18:57
Raymend Pekanto,"saya suka dengan aplikasi blu account, tidak ada biaya admin.",5,2024-12-07 17:25:41
Jaelani Alif,bagus dan gak lama,5,2024-12-07 17:02:27
firmansyah muhammad,Keren,5,2024-12-07 14:07:52
Hana Syafitri,"Gajelas, masa gua mau stor tunai kaga bisa2 ditolak mulu",1,2024-12-07 13:07:19
Tauhid Fisabilillah,So far so good,5,2024-12-07 11:32:12
Agus Sutisna,bagus banget ga ribet.sekarang tinggal cetak kartu pisiknya,5,2024-12-07 11:20:10
Andri Irawan,mantap nih ok lah.,5,2024-12-07 09:35:48
Mul Yana,mantap,5,2024-12-07 08:50:18
Steven Liau,sudah bagus tetapi dikembangkan lagi karena aplikasi-nya agak lama untuk membuka qris,5,2024-12-07 05:52:53
Romi Adi,Versi Very Good,5,2024-12-06 23:44:15
Dadi Selamet Riyadi,"mau daftar aja ""YAH TERPUTUS"" melulu gajelas padahal Internet stabil&lancar suruh update perangkat ke versi terbaru? Android 14 emang udah purba yah?",1,2024-12-06 16:51:12
Muhammad Noviannur,"Aplikasi nya lelet dan ada delay saat buka aplikasi dan perpindahan transisi ke menu yg lain, berbeda dengan apk w*ndr dan bc* , livin yg aplikasi nya smooth dan cepat",3,2024-12-06 14:36:04
Arbhil Ardabilly,"Terbaik , apalagi request kartu nya, cepet bngt sampai nya hehe",5,2024-12-06 14:11:37
Rafly Pasya,mantap,5,2024-12-06 13:10:54
Akbar Rabiaful,mantap,5,2024-12-06 12:05:10
Luhur Wijanarko,Siip,5,2024-12-06 08:41:08
Tatang Hidayat,transaksi cepat,5,2024-12-06 08:28:04
Herli Ana,rkeren bnget,5,2024-12-06 07:00:47
Ferry Handoko,Lama loadingnya buat transaksi....mohon d tinjau kelemahannya.....supaya bisa optimal saat transaksi,4,2024-12-06 05:18:11
Richo Irawan,"Update dong min aplikasinya biar jadi simpel kaya aplikasi bank lain, terus loading aplikasi juga masih lama banget. Tolong di perbaiki lagi min🙏",3,2024-12-06 03:50:19
Doni Aprian Saputra,"sangat membantu, dan Bagus",4,2024-12-06 00:17:17
Deana Ramadan 28,Tidak bisa masuk aplikasi totalll.. mana uang disana semua😭😭,1,2024-12-05 19:44:57
IWAN SETIAWAN,bagus,5,2024-12-05 16:04:22
amri yusrizal,"Proses pembukaan blu yang RUWET, minta surat domisili sudah diberi surat domisili sah stempel bendesa tapi dikatain nonvalid, apa gk bisa cara lain? Misal SK tugas kedinasan",1,2024-12-05 13:41:26
ilhm Prtm159,"lemot banget, jaringan dah baguss pas login malah ada bacaan ""yachh terputus...""",1,2024-12-05 07:26:49
Ftrianni,"terbaik,jika ada kendala respon nya cepat",5,2024-12-05 07:18:45
Ray J.I,Apk beratnya minta ampun. Hancur,1,2024-12-05 04:19:06
Ridho Ekky Pangestu,Sangat bermanfaat,5,2024-12-05 01:20:00
Nining Yuningsih3,lemot lemot lemot,1,2024-12-04 18:10:41
Fauzi Ahmad,Sangat membantu buat para nasabah.. Tlng jaringan jngan sampe lemot yaa,5,2024-12-04 17:02:46
Kasman Permana,Semoga dgn ada nya blu by BCA digital.Biar lbh mudah dalam bertransaksi,5,2024-12-04 16:06:23
Ryan Praditya,JANGAN PAKAI APLIKASI INI SEBELUM ANDA JADI KORBAN BERIKUTNYA Status transaksi behasil tapi uang belum sampai ke penerima sudah 2 kali seperti ini solusi tidak ada masa harus begini terus tiap melakukan transaksi telfon ke cs nya cuman bisa bilang mohon bersabar...bukan itu yang saya mau!!!!!saya mau uang saya di kambalikan,1,2024-12-04 13:40:03
Salsabila Mawaddah,"merasa terbantu banget pake blu bca, gaperlu mikirin biaya admin dsb",5,2024-12-04 13:08:11
Shafira Ramadhani,"pake kunci sidik jari buat buka nya tapi malahan ga bisa, padahal awal"" bisa pas buat masuknya tpi skrg malahan gabisa, mohon diperbaiki ya,, terimakasih",4,2024-12-04 11:03:52
Nopendri Cheno,tolong up date blu punya barcode ...,4,2024-12-04 10:24:22
KI KERTAWASITA,Top bangett,5,2024-12-04 10:07:59
S Natasya P,Terimakasih blu,5,2024-12-04 08:14:42
Desi Natalia,puas dan suka pakai blu,5,2024-12-04 07:39:25
Mochammad Ginanjar,APLIKASI LEMOT DAN HARI INI GAK BISA LOGIN!,1,2024-12-04 07:02:24
Irsyad Januar Nugroho,"ngelag banget, jadi malu klo setiap pembayaran pakai blu selalu lama",1,2024-12-04 05:54:44
R I S A L,Aplikasinya lambat dan fitur insight sangat menggangu.,2,2024-12-04 03:06:34
Rohmatul Umah,"sangat membantu mempermudah transaksi, dan gratis biaya admin",5,2024-12-03 23:53:33
Riandi Nugraha,Simple good👌👌,5,2024-12-03 23:39:08
Wardatul Kamilah Wk,"fitur udah bagus, tapi agak lemot",5,2024-12-03 22:33:53
Bari Sutiyo Pratama,Good Application & User Friendly.,5,2024-12-03 12:39:17
Gus Krisna,mantap,5,2024-12-03 07:26:58
lingga al kautsar,ribet bgt daftarnya. ada mbanking masih bilang nomor tidk terdaftar ebanking ? gila,1,2024-12-03 06:47:10
Taufik Hidayat,tranfer lenih mudah,5,2024-12-03 05:37:56
gavyn boy,Terkadang lola,4,2024-12-03 05:07:28
Jeni Maharani,"Halo mohon bisa ditingkatkan kembali performa aplikasi androidnya. Karna sy sering mau bayar dikasir sangat lemot. Dan tiba2 buffering lama. Lalu untuk scan juga kurang responsif, kadang harus di pas pasin banget baru bisa ke scan. Padahal saya sangat suka fitur aplikasinya, karna banyak pocket dan sangat kekinian, transfer juga mudah tidak ribet save dulu spt bca, lalu top up free admin kadang cashback.",3,2024-12-03 04:36:55
Wagi Ono,Coba aja akun blue bisnis menyediakan qrish untuk usahanya bakal makin bagus nih,5,2024-12-03 04:12:25
okey okay,Pkoknya sangt membantu❤️,5,2024-12-03 04:02:47
Zizi Mikhroji,"Tolong di tingkatkan lagi kecepatan jaringanya.. stiap lg transaksi Qris, sllu kendala di jaringan...",5,2024-12-03 03:10:57
fajar Purwo,"Coba Aplikasinya dapat berjalan dengan lebih cepat lagi, terimakasih",5,2024-12-03 02:31:52
Ahmad Mustakim,Tolong dong klo tarik tunai pake kartunya terlalu besar biaya adminnya,4,2024-12-03 01:22:47
Ikbal Hermawan,sangat berguna bnyak reward,5,2024-12-03 00:36:04
Eko Suprayitno,Gak jelas.....susah banget mau masuk. Ribet tingkat dewa.,1,2024-12-02 23:05:20
Warso Firmansyah,mantul bingitz,5,2024-12-02 20:54:31
Galih abdlla,"bagus aplikasinyaa enak dipake buat transaksi,banyak rewardnyaa",5,2024-12-02 18:04:34
Irfan,sangat baik,5,2024-12-02 17:26:23
Rofi,TAMBAHKAN BATAS WAKTU VERIFIKASI WAJAHH!!!!!,1,2024-12-02 15:16:33
I'm not sugar,Apanya screen look book susah kali maksud nya apa ini tolong tanggapan cepat nya,5,2024-12-02 14:37:18
Azri s,Ribet amat buat akun ga kek Brimo atau livinmandiri simpel lah ini vc banyak tanya tanya,1,2024-12-02 12:32:59
Dilla Olivia,sangat suka karna tidak ada adminn🫰,5,2024-12-02 09:57:50
Desugih Katresna Putra,Ko ga bisa aktivasi kartu?,5,2024-12-02 09:25:33
『XE』DBAG Export,bebas biaya atmin2 yg menyebalkan,5,2024-12-02 09:02:56
X MIPA G 39 Syamsul Ibnu fajar,"Aplikasi ga jelas, tranfer pindah dana keterangan berhasil tapi ga ke kirim, pas telpon CS ga ditanggepin, malah Diblokir sama CS gabisa telpon lagi, aplikasinya lucu banget, sampe sekarang itu uang ga kekirim kirim, makin ga yakin aja sama BCA udah masuknya lemot, customer mau melakukan pengaduan transaksi malah diblokir lucuuuuuu",1,2024-12-02 08:25:51
Tikno Wahono,"Jadi suka Deposito, menguntungkan",5,2024-12-02 06:20:13
muhammad rifky,"aplikasi sangat lambat,jadi sakit kepala kalo buka aplikasi ini karna saking lambat nya",1,2024-12-02 06:04:28
April yanto,"Blusuk, apk lemot, mending pake mybca",1,2024-12-02 05:57:11
Rizky Baihaqi,"Semoga UI/UX nya di optimalisasi lagi biar tambah cepat responnya, sama kalau bisa tambahin widget qris Update: bener bener berat banget ni aplikasi. No worth",1,2024-12-02 05:55:45
Yeni Apriana,"Pas dibuka apknya loadingnya susah banget, bikin susah kalau mau cepet transaksi Payah",3,2024-12-02 05:55:38
Dty Dty,Gimana ini BCA? Bisa bisa nya saldo saya berkurang tanpa ada riwayat nya tolong yaaaa,1,2024-12-02 05:49:09
Ludfi Firmansyah,Aga lemot banget..,1,2024-12-02 05:20:58
lukman ph5,"Sdh apk lemot, pinjaman juga enggak dipercaya padahal padahal transaksi banyak, mending pake super bank baru buka di kasih pinjaman 1 jt. Lah ini trs di pake transaksi... Tapi di tolak trs..ganti bank on-line",1,2024-12-02 04:05:41
Bella Odeliya,puas sekali,5,2024-12-02 00:52:30
Maya Dwis,Silahkan perbaiki lgi yg kurang nya,2,2024-12-02 00:12:13
Sila Saka,Mau masuk aja dipersulit padahal muka sendiri akhirnya di blokir,2,2024-12-02 00:08:12
Ni Made Ayu Kristianingsih,APLIKASI TERBAIK,5,2024-12-01 23:12:22
Rama Saputra,sangat membantu,5,2024-12-01 21:59:33
yugas pratama yugas,terbaik,5,2024-12-01 21:45:14
May Mawarni,Sangat praktis & membantu kelancaran keuangan ku 😉,5,2024-12-01 21:07:22
Dika SA,"Lambat bener,semoga cepet di perbaiki",5,2024-12-01 18:21:20
Okman Okman,"Sudah satu tahun saya pakai blu,tapi masih sj lemot dan berat. Katanya mau diperbaiki nyatanya sampai sekarang masih aja seperti yg dulu gak ada perubahan. Cerai dulu sama Blu mau pindah ke Aladin. Kalau tidak ada perbaikan dan perubahan dalam beberapa bulan kedepan saya akan uninstall apk ini dr hp saya.",2,2024-12-01 14:38:03
nyimas nur azizah,mantab,5,2024-12-01 11:45:40
Akhida Masyitoh,"mudah dan komplit menunya, gratis admin juga mantapp bgttt, pertahankan yaaa blu",5,2024-12-01 11:36:20
Rissa Maisary,"Bantu tambahkan pembayaran tagihan kartu kredit BCA ya,",3,2024-12-01 09:29:03
Muhardiansyah Z,Setelah pembeharuan 1 Desember 2024 tansfer ke bank lain via BI-Fast sudah tidak free meskipun ada voucher tetap tidak free...,1,2024-12-01 08:34:04
yasmine 06,sukaa tp kadang loading nya lama bgt huhu:(,5,2024-12-01 08:30:15
MOCH FANANI,transaksi baik banyak gratisan bagus sekali suka,5,2024-12-01 08:26:41
Agnes Lasmaria Angelia,Payah,1,2024-12-01 08:09:38
Dian Widyawati,"awal-awal pake bagus banget, tp makin kesini makin aneh makin lemot. terus mau ditutup akun juga ribet harus hubungi pihak blu nya pas di telpon di angkat 1x cuman di kasih waktu 1 menit habis itu malah tiba2 mati telpon nya , terus pas di telpon lagi ga bisa karna ga nyambung2 pdhl sinyal bagus pulsa ada. hadeuuh kecewa",1,2024-12-01 06:18:09
Hermawan Yp,"Berat banget biar jaringan lancar RAM besar tpi ttp berat banget ga kek bank digital sebelah,mau scan QRIS aja slow respon ampun dah gw kasih 1 bintang dl sampai di perbaiki baru gw kasih buntang 5",1,2024-12-01 06:10:42
Idhayat Trisetiawan_iwan,"oke, sangat membantu 👍",5,2024-12-01 04:51:06
Tegar Arno Farel,👍🏻👍🏻👍🏻,5,2024-11-30 16:01:59
Romi Kusuma Bakti,"aplikasinya berat, saran saya dibikin dari awal pake native (kotlin)",4,2024-11-30 15:46:52
Imelda Rahmawati,Sudah 2x eror qris. Bukak data susah.,1,2024-11-30 14:23:48
wendy whardani,Lemot karna ada iklan dan promo2 padahal kalo mo iklan di luar aplikasi aja kek di fb atau sosmed media yg lain ga perlu nambah2in iklan di dalam aplikasi pengguna aplikasi bank digital ini mayoritas orang2 melek pengetahuan bukan generasi old yg gagap Teknologi ga dan pengen yang sat set ga lemot Iklan nya bikin aplikasi jadi terhambat Informasi mengenai promo akan lebih tersalurkan jika orang2 bnar2 butuh akan promo nya ga perlu di tambahin di awal layar yg buat aplikasi berat,1,2024-11-30 10:02:21
Kiki Darmawan,kecintaan aku kesayanga aku muach,5,2024-11-30 08:08:56
Sana Wijaya,"Sempat panik dan bertanya2 karena kartu yg saya request status sudah diterima tapi belum datang, saya langsung nelpon lewat hallo bca dikasih nomor pelapor terus saya kirim ke gmail dan kirim nomor pelapor setelah nunggu selama 7 hari,hari ini kartunya datang",5,2024-11-30 06:46:15
gervasius arsa,"Untuk tampilan atau UI diperhalus lagi. Seperti aplikasi BCA Mobile, sehingga tidak terasa lemot. Terima kasih",5,2024-11-30 06:40:34
Arief Fahrizal,"Aplikasi blu saya sering logout sendiri,mau login lagi pas udah masukin password aplikasi ngebug keluar sendiri,harus instal uninstall baru bisa lagi,padahal aplikasi udah update ke versi terbaru",4,2024-11-30 05:45:46
soft light,Malah suruh ke ATM terdekat Jelas2 saya punya mobile banking bca pas daftar blu Tidak bisa daftar karna nomor hp tidak terdaftar di e bangking 🗿,3,2024-11-30 04:54:29
Bli BIG Channel,"apk bagus, easy to use",5,2024-11-30 02:04:19
Ap Chagi,Good...👍👍👍,5,2024-11-29 08:26:53
Baba furkan,Hanya Di Perbaiki Jaringan Aja ni,5,2024-11-29 03:05:09
Toni Abdillah,ya lumayan tapi ko admin lumayan besar ya,5,2024-11-28 23:35:54
Mahisa Firsta C.B,"Aplikasi aneh, verifikasi muka gagal mlu pdhal udh bener freak",1,2024-11-28 18:29:26
Daffa abbyyan Shoffa,Lemottt leletttt,3,2024-11-28 18:01:03
Syafira Cahyaningtyas,"Super duper enak banget pakai blu, banyak promo dan gampang pakainya. Selalu dapet gratis admin transfer beda bank, top pokoknya. Jangan ragu pakai blu udah resmi dari BCA.",5,2024-11-28 17:21:42
Ali Cahyadi,Mudah dan praktis di pakainya,5,2024-11-28 13:23:08
tomy sadewo,sangat modern dan mudah d pakai,5,2024-11-28 11:32:09
Rully,keren bangetlah,5,2024-11-28 10:54:11
Nia Ftrn,Aplikasi berat! boro2 mau transaksi mau login aja susah banget!,1,2024-11-28 10:25:23
Nounks,Apk blu paling lemot di banding apk banking lain nya,4,2024-11-28 09:16:02
Very Lesmana,"Baguss Uang kita Bisa di Bagi dan di Atur Sesuai Kebutuhan , Tapi Untuk Aplikasinya Masih Berat",3,2024-11-28 08:47:51
Reynaldo Antoni,"Awalnya jadi nasabah blu dengan segala kemudahannya. 3 bulan terakhir terpaksa meninggalkan blu dan pindah ke orange. Semua karna kekurangan satu hal. APLIKASI ANDA SANGAT LEMOT DAN LELET, tidak di iphone terbaru tidak di android flagship. Sama saja.",3,2024-11-28 07:46:37
Hendra Sani,"baik walau masih ada tools yg membingungkan, tapi overall ok",5,2024-11-28 03:46:51
Titin Jamiah,"Sedih 2 kali pengajuan pinjaman gagal terus, terima kasih.",2,2024-11-28 00:14:17
Nazhwa Oktari,"kok mau transaksi GK bisa2 ya,,",4,2024-11-27 10:12:33
Huda Assidiqy,"tapi kenapa aplikasinya kek lemot gitu yaa, tolong agar bisa jadi aplikasi klik langsung jalan",5,2024-11-27 08:42:31
Abdul Rouf,mantap tapi kadang suka aga lelet pas mau masuk ke apk nya si overall bagus 👍,5,2024-11-27 07:09:32
Phita.EOBless,"Kecewa bangetttt, leletnya ampunnnnn",1,2024-11-27 06:30:40
Anak Rantau,"Perbaharuannya udah bagus dan baik dg reffff (RIZKYJKHB), tp Ada beberapa kendala. Maaf jika ini semoga menjadi saran untuk bagian investasi yang untuk melihat nominal investasi ada dua platform itu ada beberapa error yang satu gak bisa lihat nominal. Udah di tekan tombol reflas atau menyegaskan yang ada di tombol itu tetap error. Sama semoga ke depan menjadi lebih baik.",5,2024-11-27 03:57:13
Dudin Saepudin,"BLU by BCA tolong dong adain fitur setor/tarik tunai di Alfamart atau Indomaret biar lebih mudah, praktis dan dekat, 20X free transfer antar bank, transaksi e-wallet ada cashback nya mantap, BLU by BCA the best.🙏⭐⭐⭐⭐⭐",5,2024-11-27 02:24:10
Ahmad Faid,"Mantap ini blu bca pendaftarannya gak ribet begitupun transaksinya, cuma apk nya masih belum optimal masih agak lambat Semoga bisa di kembangkan lagi",5,2024-11-27 00:08:37
Achmad Edy Haryono,mantap cuman loading app di perbaiki aja biar tambah mantap,5,2024-11-26 20:28:34
Suganda,"Sumpah keren banget fiturnya, yg paling sy suka itu Blu Saving, jadi bisa atur keuangan dan bisa debet otomatis 😃😍😍😍 ya walopun apk nya lambat gk ngaruh buat saya, kan ini cuma buat tabungan/keuangan, bukan apk buat maen game, jd gpp nge Lag dikit gk ngaruh.",5,2024-11-26 18:11:13
Dede Oktaviana,"Semua fitur aplikasi ini bagus banget Cuma ini apk berat banget di hp apapun, ngelag, lemot jadi kalo mau bayar pake Qris gabisa diburu buru sangat disayangkan",4,2024-11-26 13:54:06
Alya Meiliasari,mantap deh,5,2024-11-26 12:50:04
Aprilia Eka (Aprilia eka sari),Aplikasinya bagus tetapi kenapa setiap login itu selalu sesi habis padahal sudah login dan tiba tiba sesinya habis jadi ngulang lagi terus begitu.. jadi saran saya untuk di perbaiki lagi,5,2024-11-26 10:35:26
Agus Kemal,sangat membantu,5,2024-11-26 10:26:16
Wawan Erli,Veritifikasi susah bangaatt Login LAMBAAT bangatt . 😔,2,2024-11-26 09:49:31
Nuri nuryaaeni,mempermudah segala urusan,5,2024-11-26 07:19:11
Darman Waruwu,"Sejauh ini ga ada kendala, memang harus di akui aplikasi blu dengan hp yg ram 2, 3 hingga ram 4 memang agak sedikit berat. Tapi ini jadi PR bagi pengembang aplikasi coba aja klo ringan pasti jauh lebih menarik bagi masyarakat",5,2024-11-26 07:14:41
rangga ekaputra,best of the best,5,2024-11-26 07:13:51
Pauji Ishak,Keren,5,2024-11-26 05:49:38
Supri Yanto,seneng bgt bs pakai blu bca.. membantu bgt sih pokoknya,5,2024-11-26 05:47:51
bagus aris,"Aplikasinya enak, jarang gangguan dan ringan",5,2024-11-25 22:36:43
Teguh Hayat,"Sekedar masukan verifikasi wajah pada aplikasi ini sulit untuk masuknya,tidak seperti aplikasi lain padahal sdh mengikuti panduan .",3,2024-11-25 18:22:39
Xuantian Siangtee,Menyenangkan proses mudah trimakasih BLU 👍,5,2024-11-25 15:29:17
Sayang Kesya,ok,5,2024-11-25 13:17:42
Evans irdas,Ga ada limit pinjaman,1,2024-11-25 12:15:08
ari rismana (kang dekor),"sangat mudah di gunakan,",4,2024-11-25 09:07:32
Inda Arfala,sangat membantu,5,2024-11-25 06:54:18
Sky루스키,"Gak ribet, nabung juga bisa di post post gitu.",5,2024-11-25 03:49:32
arief boy,"aplikasi berat, untuk membuka dan proses qris bayar lama sering lemot, padahal sinyal stabil",1,2024-11-25 03:32:58
Jarot Mugiwara,mudah digunakan,5,2024-11-24 23:34:18
Andre Juan Hartono,bagus banget,5,2024-11-24 15:45:03
